type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;born_in_chaos_v1:armor_plate_from_dark_metal;Dunkelstahlplatte;1;2;7;14;100
item;born_in_chaos_v1:corpse_maggot;Maden;32;128;4;8;100
item;born_in_chaos_v1:dark_metal_ingot;Dunkelstahlbarren;3;6;6;12;100
item;born_in_chaos_v1:dark_rod;Dark Rod;8;16;6;12;100
item;born_in_chaos_v1:ethereal_spirit;Ätherische Seelen;32;64;5;10;100
item;born_in_chaos_v1:fire_dust;Fire Light Dust;8;16;6;12;100
item;born_in_chaos_v1:fused_bone;Fused Bone;16;32;6;12;100
item;born_in_chaos_v1:gnawed_bones;Gnawed Bones;16;32;6;12;100
item;born_in_chaos_v1:mesh_door;Mesh Door;1;3;6;12;100
item;born_in_chaos_v1:monster_skin;Monster Skin;32;64;6;12;100
item;born_in_chaos_v1:orbofthe_summoner;Orb of the Summoner;2;8;6;12;100
item;born_in_chaos_v1:phantom_powder;Phantom Powder;8;16;6;12;100
item;born_in_chaos_v1:seedof_chaos;Seed of Chaos;16;32;6;12;100
item;born_in_chaos_v1:shattered_skull;Shattered Skull;4;8;6;12;100
item;born_in_chaos_v1:wood_splitter_axe;Holzaxt;1;3;6;12;100
item;born_in_chaos_v1:staff_of_magic_arrows;Staff of Magic Arrows;1;4;7;14;75
item;born_in_chaos_v1:trident_hayfork;Pitchfork;1;3;6;12;75
item;born_in_chaos_v1:fangofthe_hound_leader;Fang of the Hound Leader;1;2;7;14;50
item;born_in_chaos_v1:lifestealer_skull;Lifestealer Skull;1;2;7;14;50
item;born_in_chaos_v1:nightmare_claw;Nightmare Stalker Claw;2;4;7;14;50
item;born_in_chaos_v1:nightmare_stalker_skull;Nightmare Stalker Skull;1;2;7;14;50
